date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:27	6464/6464	---M--	200	added ('OK')	image/png	etag:%224e026c6-1940-55a93f1255000%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/partner2.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/partner2.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:27	6640/6640	---M--	200	added ('OK')	image/png	etag:%224e026c7-19f0-55a93f1625900%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/partner3.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/partner3.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:29	7013/7013	---M--	200	added ('OK')	image/png	etag:%224e026c8-1b65-55a93f1dc6b00%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/partner4.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/partner4.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:29	5121/5121	---M--	200	added ('OK')	image/png	etag:%224e026c9-1401-55a93f1faef80%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/partner5.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/partner5.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:30	3017/3017	---M--	200	added ('OK')	application/javascript	etag:%224e02726-bc9-55d7cffa6c280%22	http://bootstraplovers.com/assan3.5/classic-template/html/js/event.custom.js	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/js/event.custom.js	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:31	28544/28544	---M--	200	added ('OK')	text/css	etag:%224e02561-6f80-55d7db6292c00%22	http://bootstraplovers.com/assan3.5/classic-template/html/css/style-restaurant.css	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/css/style-restaurant.css	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:32:32	10282/10282	---M-Z	200	added ('OK')	text/html	etag:%224e02558-282a-55b6056096e80-gzip%22	http://bootstraplovers.com/assan3.5/classic-template/html/classic-restaurant-reservation.html	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/classic-restaurant-reservation.html	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:32:35	30546/30546	---M--	200	added ('OK')	application/javascript	etag:%224e0272e-7752-54db188400380%22	http://bootstraplovers.com/assan3.5/classic-template/html/js/jquery.gmap.min.js	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/js/jquery.gmap.min.js	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:48	389952/389952	---M--	200	added ('OK')	image/jpeg	etag:%224e02646-5f340-55ad90cc20c00%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/event/bg1.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/event/bg1.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:33:12	348502/348502	---M--	200	added ('OK')	image/jpeg	etag:%224e02648-55156-55ad90ee75d00%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/event/bg3.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/event/bg3.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:33:13	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Nov%202017%2012:03:12%20GMT	http://bootstraplovers.com/assan3.5/classic-template/html/resto-about.html	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/resto-about.120.delayed	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:33:28	353040/353040	---M--	200	added ('OK')	image/jpeg	etag:%224e026d1-56310-5504c7ff43280%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/bg4.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/bg4.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:33:36	46831/46831	---M--	200	added ('OK')	image/jpeg	etag:%224e026d7-b6ef-55b4a8a16a280%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/food1.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/food1.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:33:46	59886/59886	---M--	200	added ('OK')	image/jpeg	etag:%224e026d9-e9ee-55b4a8c5a7800%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/food2.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/food2.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:01	76483/76483	---M--	200	added ('OK')	image/jpeg	etag:%224e026da-12ac3-55b4a8daa2980%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/food3.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/food3.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:24	136678/136678	---M--	200	added ('OK')	image/jpeg	etag:%224e026db-215e6-55b4a902b0800%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/food4.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/food4.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:37	77959/77959	---M--	200	added ('OK')	image/jpeg	etag:%224e026dc-13087-55b4a913db080%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/food5.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/food5.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:49	757104/757104	---M--	200	added ('OK')	image/jpeg	etag:%224e026d0-b8d70-5504a0585a580%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/bg3.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/bg3.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:54	102124/102124	---M--	200	added ('OK')	image/jpeg	etag:%224e026dd-18eec-55b4a92ca6b00%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/food6.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/food6.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:56	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Nov%202017%2012:04:55%20GMT	http://bootstraplovers.com/assan3.5/classic-template/html/classic-restaurant-menu.html	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/classic-restaurant-menu.129.delayed	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:57	1817/1817	---M--	200	added ('OK')	image/png	etag:%224e026e3-719-55b4d59a2bc80%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector1.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector1.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:57	1897/1897	---M--	200	added ('OK')	image/png	etag:%224e026e4-769-55b4d608cc180%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector2.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector2.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:58	2193/2193	---M--	200	added ('OK')	image/png	etag:%224e026e5-891-55b4d643ecd00%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector3.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector3.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:34:59	1809/1809	---M--	200	added ('OK')	image/png	etag:%224e026e6-711-55b4d68e4fc80%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector4.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector4.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:35:00	1778/1778	---M--	200	added ('OK')	image/png	etag:%224e026e7-6f2-55b4dd98c1900%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector5.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector5.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:35:01	1510/1510	---M--	200	added ('OK')	image/png	etag:%224e026e9-5e6-55b4ddf637580%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector7.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/vector7.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:35:16	166159/166159	---M--	200	added ('OK')	image/jpeg	etag:%224e026d2-2890f-55b4cb0003900%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/chef-l1.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/chef-l1.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:35:25	149848/149848	---M--	200	added ('OK')	image/jpeg	etag:%224e026de-24958-55b4a94efbc00%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/food7.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/food7.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
15:35:26	1071537/1071537	---M--	200	added ('OK')	image/jpeg	etag:%224e026cf-1059b1-5504a06d55700%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/resto/bg2.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/resto/bg2.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-restaurant.html)
